Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	McGill RS		1st	2nd	1st	2nd	1st	13	816	3	2
2	TBA A		1st	1st	1st	1st	3rd	13	815	4	0
3	Princeton XI		1st	2nd	1st	1st	2nd	13	813	3	2
4	Queen&#x27;s AW		1st	1st	2nd	2nd	1st	13	796	3	2
5	McGill YM		1st	1st	2nd	4th	1st	11	806	3	1
6	Dartmouth/Dino XW		2nd	1st	1st	3rd	2nd	11	801	2	2
7	UBC PW		2nd	1st	3rd	1st	2nd	11	798	2	2
8	Cambridge AF		1st	3rd	2nd	2nd	1st	11	780	2	2
9	Sydney A		2nd	1st	4th	1st	1st	11	777	3	1
10	UWODS CW		3rd	1st	2nd	2nd	1st	11	771	2	2
11	Harvard MW		1st	1st	4th	1st	3rd	10	802	3	0
12	Victoria BS		2nd	1st	2nd	1st	4th	10	801	2	2
13	Stanford DQ		1st	2nd	3rd	1st	3rd	10	792	2	1
14	Duke CJ		1st	3rd	1st	3rd	2nd	10	781	2	1
15	Swing 3		3rd	3rd	2nd	1st	1st	10	774	2	1
16	Waterloo AC		1st	1st	4th	3rd	1st	10	756	3	0
17	Alberta KG		2nd	2nd	3rd	3rd	1st	9	779	1	2
18	Rutgers OA	Novice	2nd	3rd	1st	2nd	3rd	9	776	1	2
19	Swing 2		1st	3rd	3rd	1st	3rd	9	775	2	0
20	Rochester LN		2nd	4th	1st	2nd	2nd	9	775	1	3
21	Carleton GC		2nd	1st	3rd	1st	4th	9	773	2	1
22	Queen&#x27;s CG	Novice	4th	1st	2nd	3rd	1st	9	772	2	1
23	UBC Mv		3rd	1st	1st	2nd	4th	9	770	2	1
24	McGill AS		2nd	2nd	4th	1st	2nd	9	770	1	3
25	Stanford KP		3rd	1st	4th	1st	2nd	9	769	2	1
26	Carleton VC		3rd	1st	1st	3rd	3rd	9	767	2	0
27	USAFA RB		1st	3rd	3rd	2nd	2nd	9	762	1	2
28	Swing 1		2nd	4th	2nd	2nd	1st	9	756	1	3
29	Cornell TY		1st	2nd	2nd	4th	3rd	8	780	1	2
30	Queen&#x27;s MK		2nd	3rd	2nd	4th	1st	8	776	1	2
31	Duke YL		1st	3rd	1st	4th	3rd	8	774	2	0
32	Princeton PA		1st	2nd	4th	1st	4th	8	769	2	1
33	UBC CJ	Novice	3rd	1st	2nd	2nd	4th	8	766	1	2
34	Stanford CM		2nd	4th	1st	3rd	2nd	8	762	1	2
35	Clemson OM	Novice	3rd	4th	3rd	1st	1st	8	752	2	0
36	Colgate DR	Novice	3rd	4th	2nd	1st	2nd	8	748	1	2
37	HWS BR		4th	2nd	3rd	1st	2nd	8	745	1	2
38	Middlebury SB	Novice	4th	1st	4th	2nd	1st	8	742	2	1
39	EDS OA		2nd	2nd	3rd	2nd	4th	7	773	0	3
40	Princeton ZK	Novice	2nd	2nd	3rd	4th	2nd	7	772	0	3
41	McMaster NZ	Novice	3rd	2nd	1st	3rd	4th	7	765	1	1
42	Cornell OM		2nd	3rd	4th	3rd	1st	7	762	1	1
43	Queen&#x27;s KW		2nd	3rd	1st	4th	3rd	7	761	1	1
44	Waterloo FL		2nd	2nd	2nd	4th	3rd	7	758	0	3
45	EDS KP		3rd	2nd	3rd	3rd	2nd	7	754	0	2
46	Alberta TS		4th	3rd	1st	2nd	3rd	7	752	1	1
47	Waterloo ZM	Novice	3rd	2nd	3rd	4th	1st	7	750	1	1
48	McGill WM	Novice	1st	4th	1st	3rd	4th	7	748	2	0
49	UBC BG	Novice	3rd	3rd	1st	4th	2nd	7	740	1	1
50	Carleton BG		3rd	4th	3rd	2nd	1st	7	736	1	1
51	McGill IF	Novice	4th	1st	3rd	3rd	3rd	6	760	1	0
52	Davidson BF	Novice	3rd	4th	2nd	1st	4th	6	754	1	1
53	McMaster AD	Novice	3rd	3rd	2nd	4th	2nd	6	754	0	2
54	Colgate WW	Novice	4th	1st	2nd	4th	3rd	6	752	1	1
55	Davidson WB	Novice	4th	4th	2nd	1st	3rd	6	747	1	1
56	Middlebury BLy		3rd	2nd	3rd	2nd	4th	6	744	0	2
57	UWODS MM	Novice	4th	3rd	1st	4th	2nd	6	743	1	1
58	UWODS DH	Novice	1st	4th	2nd	3rd	4th	6	740	1	1
59	Middlebury SH	Novice	4th	3rd	4th	2nd	1st	6	722	1	1
60	EDS GA	Novice	3rd	2nd	4th	2nd	4th	5	752	0	2
61	Colgate TA	Novice	2nd	4th	3rd	3rd	3rd	5	744	0	1
62	HWS BT	Novice	2nd	3rd	4th	4th	2nd	5	742	0	2
63	Middlebury BN	Novice	4th	2nd	4th	3rd	2nd	5	741	0	2
64	Carleton SH	Novice	3rd	4th	2nd	2nd	4th	5	737	0	2
65	HWS VH	Novice	4th	4th	1st	3rd	3rd	5	732	1	0
66	McMaster DM	Novice	4th	2nd	4th	2nd	4th	4	743	0	2
67	HWS MH	Novice	4th	4th	1st	4th	3rd	4	737	1	0
68	Cornell SC	Novice	1st	4th	4th	4th	3rd	4	735	1	0
69	Waterloo S1		1st	4th	4th	3rd	4th	4	734	1	0
70	Clemson BC	Novice	4th	4th	3rd	1st	4th	4	720	1	0
71	Clemson AF	Novice	4th	4th	4th	3rd	2nd	3	733	0	1
72	HWS WH	Novice	4th	3rd	3rd	3rd	4th	3	733	0	0
73	Colgate RM	Novice	4th	2nd	3rd	4th	4th	3	724	0	1
74	Swing 4		—	—	—	—	1st	3	158	1	0
75	Colgate JH	Novice	4th	3rd	4th	4th	3rd	2	730	0	0
76	McMaster AG	Novice	4th	3rd	4th	4th	4th	1	716	0	0
77	Rutgers VA		3rd	4th	4th	4th	—	1	579	0	0
