Rk	team	categories	institution	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
1	Oxford LM	ESL, Novice	Oxford	1st	1st	2nd	1st	1st	14	808	4	1
2	Zagreb/ LSE A		—	1st	1st	1st	2nd	2nd	13	821	3	2
3	Dartmouth A		Dartmouth	3rd	1st	1st	2nd	1st	12	806	3	1
4	Oxford A		Oxford	1st	1st	2nd	1st	4th	11	828	3	1
5	UoL A		UoL	1st	1st	3rd	1st	3rd	11	809	3	0
6	Oxford/Zagreb A		—	1st	2nd	2nd	3rd	1st	11	807	2	2
7	MDU Manchester A		MDU	1st	1st	3rd	1st	3rd	11	803	3	0
8	Warwick A		Warwick	1st	2nd	1st	3rd	2nd	11	801	2	2
9	Stanford /OUI		Stanford	3rd	1st	2nd	2nd	1st	11	796	2	2
10	Harvard/ LSE A	ESL	—	2nd	1st	4th	1st	1st	11	795	3	1
11	Oxford F		Oxford	1st	3rd	3rd	1st	1st	11	786	3	0
12	Oxford G	Novice	Oxford	2nd	2nd	2nd	1st	2nd	11	786	1	4
13	Oxford B		Oxford	1st	3rd	1st	3rd	2nd	10	805	2	1
14	St Andrews MW		St Andrews	2nd	4th	1st	2nd	1st	10	792	2	2
15	Oxford D		Oxford	3rd	1st	1st	4th	1st	10	790	3	0
16	BeDU Berlin A	ESL	BeDU	2nd	1st	4th	1st	2nd	10	790	2	2
17	Cambridge Swing 1		Cambridge	2nd	3rd	1st	2nd	2nd	10	785	1	3
18	LSE B		LSE	3rd	3rd	2nd	1st	1st	10	782	2	1
19	UCL B		UCL	1st	3rd	2nd	1st	3rd	10	779	2	1
20	LSE A		LSE	2nd	1st	2nd	4th	2nd	9	806	1	3
21	KCL B		KCL	1st	3rd	1st	3rd	3rd	9	800	2	0
22	Penn A	Novice	Penn	2nd	1st	1st	4th	3rd	9	792	2	1
23	Barcelona A	ESL	Barcelona	1st	1st	4th	1st	4th	9	785	3	0
24	Durham A		Durham	1st	2nd	4th	3rd	1st	9	782	2	1
25	IND McGill - Athabasca Hybrid		—	2nd	2nd	4th	1st	2nd	9	782	1	3
26	KCL C	ESL	KCL	1st	2nd	3rd	2nd	3rd	9	779	1	2
27	UoL Y		UoL	3rd	2nd	1st	3rd	2nd	9	773	1	2
28	TCD Hist B		TCD Hist	4th	2nd	3rd	1st	1st	9	750	2	1
29	Oxford C		Oxford	1st	2nd	3rd	2nd	4th	8	802	1	2
30	Cornell A		Cornell	2nd	1st	1st	4th	4th	8	793	2	1
31	UoL X		UoL	2nd	2nd	4th	3rd	1st	8	790	1	2
32	Cambridge A	Novice	Cambridge	1st	3rd	3rd	3rd	2nd	8	780	1	1
33	Oxford E	Novice	Oxford	3rd	1st	2nd	2nd	4th	8	779	1	2
34	TCD Hist A		TCD Hist	2nd	4th	2nd	3rd	1st	8	776	1	2
35	Yale A		Yale	4th	1st	2nd	2nd	3rd	8	774	1	2
36	Imperial A		Imperial	3rd	2nd	2nd	2nd	3rd	8	774	0	3
37=	Durham B	ESL	Durham	1st	4th	2nd	4th	1st	8	772	2	1
37=	Manchester/Edinburgh A	ESL	—	2nd	4th	1st	1st	4th	8	772	2	1
39	IIUM A	ESL	IIUM	4th	2nd	1st	4th	1st	8	768	2	1
40	Cambridge Swing 2		Cambridge	3rd	3rd	2nd	2nd	2nd	8	765	0	3
41	Williams C		Williams	2nd	3rd	3rd	1st	3rd	8	764	1	1
42=	HWS A		HWS	2nd	4th	1st	4th	1st	8	761	2	1
42=	Stanford A		Stanford	4th	4th	1st	1st	2nd	8	761	2	1
44	Malaya B	ESL	Malaya	1st	2nd	3rd	4th	3rd	7	784	1	1
45	Imperial B		Imperial	1st	4th	2nd	4th	2nd	7	776	1	2
46	UWODS Western A		UWODS	1st	4th	1st	3rd	4th	7	772	2	0
47	Malaya A	ESL	Malaya	3rd	4th	2nd	3rd	1st	7	765	1	1
48	Cambridge B	Novice	Cambridge	4th	1st	3rd	2nd	3rd	7	764	1	1
49	KCL A		KCL	2nd	3rd	2nd	2nd	4th	7	764	0	3
50	St Andrews FJ		St Andrews	2nd	2nd	4th	3rd	2nd	7	763	0	3
51=	Duke A		Duke	4th	1st	1st	4th	3rd	7	761	2	0
51=	Warwick B		Warwick	4th	1st	1st	3rd	4th	7	761	2	0
53	Duke C	Novice	Duke	3rd	1st	3rd	4th	2nd	7	755	1	1
54	Cornell B		Cornell	3rd	3rd	4th	2nd	1st	7	750	1	1
55	LSE C		LSE	4th	3rd	1st	3rd	3rd	6	765	1	0
56	KCL D	Novice	KCL	3rd	3rd	4th	2nd	2nd	6	764	0	2
57	Imperial C		Imperial	2nd	3rd	4th	2nd	3rd	6	761	0	2
58	Sciences Po C	ESL, Novice	Sciences Po	3rd	2nd	3rd	2nd	4th	6	760	0	2
59	Yale B		Yale	4th	2nd	2nd	3rd	3rd	6	758	0	2
60	Sciences Po A	ESL	Sciences Po	3rd	4th	2nd	1st	4th	6	750	1	1
61	BCE Corvinus B	ESL	BCE	3rd	4th	3rd	2nd	2nd	6	750	0	2
62	NDU Norwich B		NDU	2nd	4th	4th	1st	3rd	6	749	1	1
63	NDU Norwich A		NDU	4th	3rd	4th	2nd	1st	6	746	1	1
64	Williams A	Novice	Williams	2nd	3rd	4th	1st	4th	6	745	1	1
65	UCL D		UCL	1st	4th	4th	4th	1st	6	731	2	0
66	UCL E	Novice	UCL	—	1st	3rd	4th	2nd	6	600	1	1
67	Stanford B	Novice	Stanford	3rd	4th	2nd	2nd	4th	5	767	0	2
68	UCL C	Novice	UCL	3rd	2nd	4th	4th	2nd	5	744	0	2
69	Duke B	Novice	Duke	4th	3rd	3rd	4th	1st	5	742	1	0
70	Middlebury A	Novice	Middlebury	4th	2nd	3rd	3rd	3rd	5	738	0	1
71	Williams B		Williams	3rd	2nd	4th	3rd	3rd	5	733	0	1
72	Sciences Po B	Novice	Sciences Po	4th	2nd	4th	1st	4th	5	726	1	1
73	BuDU ELTE A	ESL, Novice	BuDU	4th	4th	1st	2nd	4th	5	712	1	1
74	UCL A	Novice	UCL	4th	3rd	1st	4th	4th	4	761	1	0
75	Stanford E	Novice	Stanford	2nd	2nd	4th	4th	4th	4	739	0	2
76	Middlebury B		Middlebury	4th	4th	3rd	3rd	2nd	4	726	0	1
77	BeDU Berlin B	ESL	BeDU	4th	4th	2nd	4th	2nd	4	708	0	2
78	Denver A		Denver	3rd	3rd	3rd	3rd	4th	4	706	0	0
79	Middlebury C		Middlebury	4th	4th	4th	1st	3rd	4	693	1	0
80	Inner Temple A	Novice	Inner Temple	4th	3rd	3rd	3rd	4th	3	727	0	0
81	NDU Norwich C		NDU	3rd	4th	3rd	4th	3rd	3	721	0	0
82	TCD Hist C		TCD Hist	2nd	4th	3rd	4th	4th	3	719	0	1
83	Duke D	Novice	Duke	4th	4th	4th	3rd	3rd	2	712	0	0
84	BCE Corvinus A	Novice	BCE	4th	3rd	4th	4th	4th	1	725	0	0
85	HPU A	Novice	HPU	3rd	—	—	—	—	1	140	0	0
86	Cambridge Swing 3		Cambridge	—	—	—	—	—	—	—	0	0
