Code,URL,Date
2020wudc,https://wudc2020.calicotab.com/wudc2020/,2019/12/26
2021wudc,https://wudckorea.calicotab.com/,2021/07/27
2021eudc,https://eudc2021.calicotab.com/eudc2021/,2021/08/01
2021naudc,https://naudc2021.calicotab.com/_/,2021/10/01
2022wudc,https://wudc2022.calicotab.com/wudc/,2022/07/27
2022eudc,https://eudc2022.calicotab.com/eudc2022/,2022/08/12
2022cornell,https://cornelliv.calicotab.com/cornell2022/,2022/09/30
2022harthouse,https://hhiv2022.calicotab.com/hhiv2022/,2022/10/14
2022yale,https://yaleiv2022.calicotab.com/_/,2022/10/29
2022usudc,https://usudc2022.calicotab.com/usudc2022/,2022/11/05
2022oxford,https://oxfordiv2022.calicotab.com/,2022/11/12
2022tco,https://thecallout2022.calicotab.com/,2022/11/26
2022kcl,https://kclproam2022.calicotab.com/kclpa2022/,2022/11/26
2022nawgmdc,https://wgmdc22.calicotab.com/wgmdc2022/,2022/12/02
2022piper,https://pipers.calicotab.com/pipers/,2022/12/02
2022structuralreasons,https://structuralreasons.calicotab.com/structural/,2022/12/09
2022viennaprewudc,https://viennaprewudc.calicotab.com/_/,2022/12/16
2022vienna,https://viv22.calicotab.com/viv2022/,2022/08/12
2022canada,https://carletonbpchamps.calicotab.com/bpchamps2022/,2022/11/26
2023untitledpreeudc,https://untitledpreeudc.calicotab.com/2023/,2023/06/17
2023wudc,https://wudc2023.calicotab.com/wudc/,2022/12/26
2023earlsfort,https://earlsfort2023.calicotab.com/_/,2023/07/07
2023glasgow,https://glasgowsummer2023.calicotab.com/_/,2023/07/15
2023drexel,https://drexelopen2023.calicotab.com/_/,2023/07/22
2023astana,https://astanaopen.calicotab.com/_/,2023/07/22
2023odesa,https://ukrainedebates.calicotab.com/odesa2023/,2023/05/27
2023sofia,https://sofiaonline2023.calicotab.com/_/,2023/05/20
2023naudc,https://naudc2023.calicotab.com/naudc2023/,2023/04/07
2023ilnu,https://ilnubpd2023.calicotab.com/2023/,2023/02/17
2022usc,https://usc.calicotab.com/usciv22/,2023/01/24
2023usc,https://usciv.calicotab.com/usciv2023/,2023/02/15
2023novnats,https://novnats23.calicotab.com/novnats23/,2023/02/22
2023berkeley,https://berkeleyiv2023.calicotab.com/berkeleyiv2023/,2023/03/04
2023princeton,https://princetoniv2023.calicotab.com/princeton23/,2023/08/05
2023makdo,https://makdo.calicotab.com/makdo2023/,2023/08/12
2023eudc,https://eudc2023.calicotab.com/_/,2023/08/23